year_ce,lead_concentration_pg_g,lead_flux_ug_m2_a,lead_emissions_kt_a
418.5,1.88,0.1384532668,0.27954710187365234
419.5,2.23,0.11795567230800005,0.27954710187365234
420.5,2.58,0.19486240419,0.27954710187365234
421.5,1.3,0.04757991340200001,0.3143900584646147
422.5,1.49,,0.3143900584646147
423.5,2.79,0.22572005516800003,0.3143900584646147
424.5,1.37,0.09670439168000002,0.26320061344967227
425.5,3.07,0.299875468278,0.20975840823051325
426.5,4.07,0.4158446506230001,0.20975840823051325
427.5,1.66,0.07436950037,0.2689924724497008
428.5,1.31,0.058674796635,0.30084111161631605
429.5,1.23,0.032903655376000006,0.23714383328308564
430.5,1.08,0.05957652129000001,0.1823729831779409
431.5,2.15,0.12267937263399999,0.1823729831779409
432.5,2.58,0.16474503790400005,0.1823729831779409
433.5,2.24,0.20966988209200002,0.30084111161631605
434.5,1.69,0.032023832286000024,0.30084111161631605
435.5,1.15,0.07064881529999999,0.30084111161631605
436.5,1.8,0.15096016872,0.30084111161631605
437.5,2.59,0.177197360998,0.37019283676158016
438.5,2.41,0.16461722628000003,0.37019283676158016
439.5,1.58,0.08734899927600001,0.2142020249741786
440.5,1.32,0.071100305328,0.22014247107131946
441.5,2.09,0.06945680113199997,0.22014247107131946
442.5,2.0,0.16176734166999998,0.2142020249741786
443.5,2.47,0.16425070993800006,0.2142020249741786
444.5,1.13,0.05766960526599998,0.19735927067120262
445.5,1.28,0.089771441463,0.19735927067120262
446.5,1.49,0.08048072744900003,0.22014247107131946
447.5,1.79,0.07379000436000002,0.2771656334223451
448.5,1.9,0.12321064159199999,0.2771656334223451
449.5,1.49,0.08007399404400001,0.2771656334223451
450.5,2.03,0.11302479850999997,0.2771656334223451
451.5,1.93,0.14033596011500002,0.2771656334223451
452.5,2.43,0.24648705546000002,0.2771656334223451
453.5,1.93,0.13003670640999998,0.2771656334223451
454.5,1.56,0.13205445094400003,0.20689988179117885
455.5,0.79,0.005307373995999998,0.20689988179117885
456.5,1.13,0.04835823277999999,0.20689988179117885
457.5,1.81,0.08437127345999999,0.20689988179117885
458.5,1.27,0.05857676099800002,0.20689988179117885
459.5,0.74,0.012008895429999989,0.20689988179117885
460.5,1.7,0.075776274134,0.20689988179117885
461.5,1.68,0.095369122674,0.20689988179117885
462.5,2.94,0.25379369770400007,0.23386941311409518
463.5,2.31,0.17059745404800003,0.40548655647418225
464.5,2.03,0.16535252144399998,0.40548655647418225
465.5,2.2,0.19110622727500007,0.40548655647418225
466.5,1.03,0.020377184256000002,0.40548655647418225
467.5,2.04,0.176794177678,0.40548655647418225
468.5,2.41,0.22406237752800007,0.3576862289675646
469.5,1.57,0.13079769009300002,0.3576862289675646
470.5,1.53,0.04949242380000003,0.3207492966386352
471.5,1.24,0.06872419323600001,0.19257134354112598
472.5,2.31,0.07852826857999999,0.2057486452505133
473.5,1.8,0.14586012508,0.2057486452505133
474.5,2.98,0.24717197589500003,0.2057486452505133
475.5,1.39,0.05462299884899997,0.2057486452505133
476.5,1.4,0.0016428739509999687,0.2057486452505133
477.5,1.72,0.08390181310000003,0.2191877973323049
478.5,2.1,0.11632252310500006,0.22457706086304444
479.5,1.88,0.09157981363199998,0.2191877973323049
480.5,1.71,0.09639423513999999,0.2057486452505133
481.5,1.52,0.06759834011499999,0.2057486452505133
482.5,1.84,0.08938213704000003,0.21246822129140913
483.5,1.69,0.103076098968,0.2191877973323049
484.5,1.79,0.0029920792799999975,0.16576837121824567
485.5,1.37,0.028543487280000012,0.16576837121824567
486.5,1.19,-0.025392297392999977,0.16576837121824567
487.5,,,0.1654318709797214
488.5,,,0.12170575158841679
489.5,1.4,0.04963013588999999,0.12170575158841679
490.5,2.06,0.12695755215,0.13669946502740898
491.5,2.22,0.14107173127199998,0.14038905785762246
492.5,1.36,0.06746111938100004,0.1654318709797214
493.5,1.31,0.032195858112000014,0.21142203928983835
494.5,1.63,0.055744391179999984,0.2574122075999553
495.5,1.99,0.11105386675200002,0.2574122075999553
496.5,1.28,0.05724896258400002,0.2574122075999553
497.5,1.97,0.10496958998400004,0.2574122075999553
498.5,2.18,0.17889304197600003,0.2574122075999553
499.5,1.58,0.10746873067799999,0.2574122075999553
500.5,1.21,0.09085197042000001,0.26354073799855426
501.5,1.93,0.16448813726400002,0.2574122075999553
502.5,2.01,0.11365980193799993,0.26354073799855426
503.5,1.79,0.06124807718400003,0.27872282378824
504.5,1.23,0.06713996976500002,0.27872282378824
505.5,1.85,0.17887686253200002,0.27872282378824
506.5,1.29,0.07608182955000002,0.27963174701857046
507.5,2.78,0.24222182809599996,0.27963174701857046
508.5,2.67,0.19699576688299997,0.33002236829180726
509.5,2.54,0.19742745762000005,0.33002236829180726
510.5,1.82,0.09707866997400001,0.33002236829180726
511.5,1.93,0.114030449856,0.33002236829180726
512.5,2.02,0.13457913674000002,0.33002236829180726
513.5,3.03,0.2670493826,0.27963174701857046
514.5,1.59,0.08427236974800005,0.27963174701857046
515.5,1.55,0.029504802052000012,0.27963174701857046
516.5,2.18,0.17061033274000006,0.33002236829180726
517.5,1.5,0.08797422319799998,0.33002236829180726
518.5,0.94,0.030200013758999996,0.2752677614827372
519.5,1.84,0.178165406544,0.2752677614827372
520.5,2.54,0.31725375312000004,0.2752677614827372
521.5,2.56,0.347316362931,0.2885950370664448
522.5,1.81,0.11225086924999998,0.2885950370664448
523.5,1.85,0.08222987520400002,0.2885950370664448
524.5,1.47,0.122841741383,0.2885950370664448
525.5,1.7,0.09791825469999998,0.2752677614827372
526.5,1.94,0.11768557130499999,0.2654639632342469
527.5,1.58,0.12232862445999998,0.24012053500926903
528.5,0.92,0.035099398432000016,0.24012053500926903
529.5,1.5,0.108252998706,0.2621541941568672
530.5,1.51,-0.019102794971999997,0.2621541941568672
531.5,1.29,0.05465550320199999,0.2654639632342469
532.5,1.61,0.08562757352600006,0.2621541941568672
533.5,2.2,0.16147800248000005,0.25349506620753226
534.5,1.66,0.10690331484199998,0.2621541941568672
535.5,3.14,0.30127296882400006,0.2621541941568672
536.5,1.92,0.131016630128,0.3212861934460815
537.5,1.64,0.08594163068399997,0.3535176278831402
538.5,1.92,0.10337222702400002,0.39598524776121946
539.5,1.88,0.14416021989399996,0.46481140262127524
540.5,2.83,0.19724501979000006,0.46481140262127524
541.5,2.56,0.23894339996099995,0.36536366389818864
542.5,2.98,0.278999412552,0.36536366389818864
543.5,2.93,0.24921478481000012,0.46481140262127524
544.5,2.03,0.18954447734999996,0.48369509674163624
545.5,2.65,0.14899089033900004,0.48369509674163624
546.5,1.85,0.04993784155100005,0.46481140262127524
547.5,1.24,0.09694317974,0.36536366389818864
548.5,2.83,0.310358797128,0.36536366389818864
549.5,2.98,0.284582886246,0.36536366389818864
550.5,1.41,0.078741181838,0.36536366389818864
551.5,1.79,0.13194914723000004,0.36197641948603304
552.5,1.75,0.14760961296900002,0.36197641948603304
553.5,2.3,0.192255625356,0.46702540810021775
554.5,2.21,0.196554796732,0.3984043459706986
555.5,1.77,0.19044732205,0.36197641948603304
556.5,1.41,0.12420253066499996,0.36197641948603304
557.5,1.42,0.09943566634300001,0.3984043459706986
558.5,2.23,0.27037696359999996,0.44277756188909484
559.5,1.94,0.162464481519,0.3984043459706986
560.5,1.44,0.11329968576199999,0.3984043459706986
561.5,1.77,0.031097159729999966,0.38251028427818734
562.5,2.21,0.18055934315999997,0.38251028427818734
563.5,2.5,0.22858245109900002,0.3984043459706986
564.5,1.02,0.034007651724,0.3984043459706986
565.5,2.0,0.16969523648999998,0.38251028427818734
566.5,2.16,0.15598307508300002,0.38251028427818734
567.5,1.38,0.08869541142,0.38251028427818734
568.5,2.32,0.17515807632000002,0.3745485658856995
569.5,2.42,0.1655284688,0.3745485658856995
570.5,1.22,0.03253541416000001,0.3745485658856995
571.5,1.28,0.074622203167,0.3745485658856995
572.5,1.47,0.08167620258400002,0.2621308378571385
573.5,2.67,0.152736382461,0.27399337153086906
574.5,2.28,0.21759255374499994,0.27399337153086906
575.5,1.2,0.07521290952599997,0.27399337153086906
576.5,2.18,0.17713953003600003,0.3349763433670621
577.5,1.61,0.10689379042500002,0.3349763433670621
578.5,1.43,0.11173118841600001,0.3349763433670621
579.5,2.09,0.183094075848,0.3349763433670621
580.5,1.81,0.13659930795600006,0.3349763433670621
581.5,2.51,0.15661212623999995,0.358229970212596
582.5,1.54,0.06122655724899998,0.358229970212596
583.5,1.35,0.08685248775000001,0.36313174256506375
584.5,1.75,0.14808073976999997,0.384052878157437
585.5,1.69,0.14608185619400002,0.36313174256506375
586.5,1.84,0.16665414375000004,0.384052878157437
