wreck_id,strauss_id,name,parker_number,country,sea_area,region_db,latitude,longitude,date_start,date_end,cargo_types,provenance,destination,region
7818,0,Filicudi Porto,401,,,,0.0,0.0,475.0,550.0,,,,western_med
7819,0,Fiumicino A,402,,,,0.0,0.0,125.0,175.0,,,,western_med
7820,0,Fiumicino B,403,,,,0.0,0.0,300.0,400.0,,,,western_med
7821,0,Fiumicino C,404,,,,0.0,0.0,300.0,400.0,,,,western_med
7822,0,Fiumicino D,405,,,,0.0,0.0,200.0,400.0,,,,western_med
7823,0,Fiumicino E,406,,,,0.0,0.0,101.0,300.0,,,,western_med
7824,0,Fiumicino F,407,,,,0.0,0.0,300.0,400.0,,,,western_med
7825,0,Fiumicino G,408,,,,0.0,0.0,200.0,400.0,,,,western_med
7826,0,Fiumicino H,409,,,,0.0,0.0,101.0,300.0,,,,western_med
7827,0,Fiumicino J,410,,,,0.0,0.0,101.0,300.0,,,,western_med
7828,0,Fiumicino K,411,,,,0.0,0.0,42.0,66.0,,,,western_med
7829,0,Fiumicino L,412,,,,0.0,0.0,42.0,66.0,,,,western_med
7830,0,Fiumicino M,413,,,,0.0,0.0,42.0,66.0,,,,western_med
7832,0,Fontanamare A,415,,,,0.0,0.0,290.0,310.0,,,,western_med
7833,0,Fontanamare B,416,,,,0.0,0.0,-200.0,-1.0,,,,western_med
7834,0,Fontanamare C,417,,,,0.0,0.0,,,,,,western_med
7835,0,Formentera,418,,,,0.0,0.0,-1500.0,-1000.0,,,,western_med
7836,0,Le Formiche di Grosseto A,419,,,,0.0,0.0,-150.0,400.0,,,,western_med
7837,0,Le Formiche di Grosseto B,420,,,,0.0,0.0,-150.0,400.0,,,,western_med
7838,0,Le Formiche di Grosseto C,421,,,,0.0,0.0,-150.0,400.0,,,,western_med
7839,0,Fos A,422,,,,0.0,0.0,-50.0,-25.0,,,,western_med
7840,0,Fos B,423,,,,0.0,0.0,1.0,100.0,,,,western_med
7841,0,La Fourmigue A,424,,,,0.0,0.0,-125.0,-75.0,,,,western_med
7843,0,Les Fourmigues,426,France,Western Mediterranean,Var,0.0,0.0,50.0,50.0,amphorae,"Llobregat, Spain",,western_med
7844,0,La Frasca,427,,,,0.0,0.0,1475.0,1500.0,,,,western_med
